Lp;Data zdarzenia;Data rejestracji;Zwierzę;Numer oborowy;Nazwa;Rodzaj zdarzenia;Opis;Wykonał;Zarejestrował;Wersja aktualna
131;2024-12-31;2025-02-05 17:32:41;PL005563092127;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
132;2024-12-31;2025-02-05 17:32:41;PL005563092127;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
133;2024-12-06;2025-02-05 17:31:49;PL005380843810;;TASIA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
134;2024-12-06;2025-02-05 17:31:49;PL005380843834;;MISKA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
135;2024-12-06;2025-02-05 17:31:49;PL005399718369;;MIRA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
136;2024-12-06;2025-02-05 17:31:48;PL005399718376;;MARZANNA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
137;2024-12-06;2025-02-05 17:31:48;PL005423498816;;ZANA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
138;2024-12-06;2025-02-05 17:31:49;PL005423498885;;TEKLA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
139;2024-12-06;2025-02-05 17:31:49;PL005423498915;;HANKA BIS;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
140;2024-12-06;2025-02-05 17:31:48;PL005423498922;;ZYTA-BIS;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
141;2024-12-06;2025-02-05 17:31:49;PL005423499073;;CYRANKA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
142;2024-12-06;2025-02-05 17:32:35;PL005451141425;;MIRELKA;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
143;2024-12-06;2025-02-05 17:31:48;PL005452069629;;PEJKA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
144;2024-12-06;2025-02-05 17:31:48;PL005452069643;;BRYDZIA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
145;2024-12-06;2025-02-05 17:31:49;PL005452069742;;KLUSKA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
146;2024-12-06;2025-02-05 17:31:49;PL005452069797;;FAJNA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
147;2024-12-06;2025-02-05 17:31:49;PL005452069803;;MAKITA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
148;2024-12-06;2025-02-05 17:31:47;PL005491367571;;TERESA;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
149;2024-12-06;2025-02-05 17:31:47;PL005491367588;;TERESKA-1;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
150;2024-12-06;2025-02-05 17:31:48;PL005491367595;;MADZIA-1;Zasuszenie;Zasuszona: 2024-12-06;;Admin Startowy admin;Tak
151;2024-12-03;2024-12-04 16:00:30;PL005399718246;;ROLLA;Zasuszenie;Zasuszona: 2024-12-03;;Admin Startowy admin;Tak
152;2024-11-10;2024-12-04 16:00:30;PL005380843841;;MINI;Zasuszenie;Zasuszona: 2024-11-10;;Admin Startowy admin;Tak
153;2024-10-01;2024-10-08 19:10:21;PL005299936801;;MALINA;Ubycie;"Ubycie: 2024-10-01; Starość";;Admin Startowy admin;Tak
